Trade,Cumulative PnL INR,Peak,Drawdown,Drawdown %
710,289618.5,290590.5,-972,-0.33449132
711,292008,292008,0,0
712,291759,292008,-249,-0.085271636
713,288894,292008,-3114,-1.066409139
714,287707.5,292008,-4300.5,-1.472733624
715,284086.5,292008,-7921.5,-2.712768143
716,278952,292008,-13056,-4.471110381
717,278301,292008,-13707,-4.694049478
718,275988,292008,-16020,-5.486151064
719,272083.5,292008,-19924.5,-6.823271965
720,268089,292008,-23919,-8.191213939
721,269766,292008,-22242,-7.616914605
722,266428.5,292008,-25579.5,-8.759862743
723,264591,292008,-27417,-9.389126325
724,284067,292008,-7941,-2.719446043
725,283614,292008,-8394,-2.874578779
726,284004,292008,-8004,-2.741020794
727,283338,292008,-8670,-2.969096737
728,285816,292008,-6192,-2.12048985
729,283917,292008,-8091,-2.770814498
730,286797,292008,-5211,-1.78454015
731,284616,292008,-7392,-2.531437495
732,283515,292008,-8493,-2.908481959
733,284985,292008,-7023,-2.405071094
734,284040,292008,-7968,-2.728692365
735,284343,292008,-7665,-2.624928084
736,282300,292008,-9708,-3.32456645
737,282057,292008,-9951,-3.407783348
738,281049,292008,-10959,-3.75297937
739,278412,292008,-13596,-4.656036821
740,283998,292008,-8010,-2.743075532
741,284040,292008,-7968,-2.728692365
742,287149.5,292008,-4858.5,-1.663824279
743,304026,304026,0,0
744,303250.5,304026,-775.5,-0.255076868
745,301275,304026,-2751,-0.904856821
746,302277,304026,-1749,-0.575279746
747,305958,305958,0,0
748,306564,306564,0,0
749,303898.5,306564,-2665.5,-0.869475868
750,303813,306564,-2751,-0.89736564
751,301234.5,306564,-5329.5,-1.738462442
752,303766.5,306564,-2797.5,-0.912533761
753,302905.5,306564,-3658.5,-1.193388656
754,305443.5,306564,-1120.5,-0.365502799
755,300814.5,306564,-5749.5,-1.87546483
756,298765.5,306564,-7798.5,-2.543840764
757,299764.5,306564,-6799.5,-2.217970799
758,306045,306564,-519,-0.169295808
759,303657,306564,-2907,-0.948252241
760,307416,307416,0,0
761,304816.5,307416,-2599.5,-0.845596846
762,306418.5,307416,-997.5,-0.324478882
763,305499,307416,-1917,-0.623584979
764,325627.5,325627.5,0,0
765,328288.5,328288.5,0,0
766,334762.5,334762.5,0,0
767,331722,334762.5,-3040.5,-0.908255853
768,330547.5,334762.5,-4215,-1.259101602
769,340558.5,340558.5,0,0
770,343270.5,343270.5,0,0
771,352098,352098,0,0
772,346597.5,352098,-5500.5,-1.562207113
773,348720,352098,-3378,-0.959391987
774,339862.5,352098,-12235.5,-3.475026839
775,335875.5,352098,-16222.5,-4.607382036
776,335139,352098,-16959,-4.816556754
777,335703,352098,-16395,-4.656374078
778,342222,352098,-9876,-2.804900908
779,344496,352098,-7602,-2.15905799
780,340482,352098,-11616,-3.299081506
781,340764,352098,-11334,-3.218990168
782,335139,352098,-16959,-4.816556754
783,329062.5,352098,-23035.5,-6.542354685
784,334419,352098,-17679,-5.021045277
785,333667.5,352098,-18430.5,-5.234480173
786,333520.5,352098,-18577.5,-5.276229913
787,333354,352098,-18744,-5.323517884
788,337182,352098,-14916,-4.23632057
789,340972.5,352098,-11125.5,-3.159773699
790,340575,352098,-11523,-3.272668405
791,338161.5,352098,-13936.5,-3.958130975
792,333144,352098,-18954,-5.38316037
793,330429,352098,-21669,-6.154252509
794,330334.5,352098,-21763.5,-6.181091628
795,326835,352098,-25263,-7.174991054
796,340669.5,352098,-11428.5,-3.245829286
797,338074.5,352098,-14023.5,-3.982840005
798,335727,352098,-16371,-4.649557794
799,334698,352098,-17400,-4.941805974
800,338764.5,352098,-13333.5,-3.786871837
801,337669.5,352098,-14428.5,-4.097864799
802,335662.5,352098,-16435.5,-4.667876557
803,340891.5,352098,-11206.5,-3.182778658
804,333091.5,352098,-19006.5,-5.398070992
805,345508.5,352098,-6589.5,-1.871496004
806,342418.5,352098,-9679.5,-2.749092582
807,340041,352098,-12057,-3.424330726
808,340356,352098,-11742,-3.334866997
809,350109,352098,-1989,-0.564899545
810,359049,359049,0,0
811,357799.5,359049,-1249.5,-0.34800264
812,355581,359049,-3468,-0.965884879
813,352968,359049,-6081,-1.693640701
814,352171.5,359049,-6877.5,-1.915476718
815,349705.5,359049,-9343.5,-2.602291052
816,348838.5,359049,-10210.5,-2.843762272
817,345373.5,359049,-13675.5,-3.808811611
818,345873,359049,-13176,-3.669694109
819,350356.5,359049,-8692.5,-2.420978752
820,364891.5,364891.5,0,0
821,359724,364891.5,-5167.5,-1.416174397
822,350668.5,364891.5,-14223,-3.897871011
823,344361,364891.5,-20530.5,-5.626467046
824,341892,364891.5,-22999.5,-6.30310654
825,350635.5,364891.5,-14256,-3.906914795
826,348475.5,364891.5,-16416,-4.498871582
827,354535.5,364891.5,-10356,-2.83810393
