Exit Time,Cumulative PnL INR
2015-01-09 15:10:00+05:30,-817.5
2015-01-12 12:20:00+05:30,-1507.5
2015-01-12 14:00:00+05:30,-4606.5
2015-01-13 12:35:00+05:30,-2400.0
2015-01-13 13:15:00+05:30,-5203.5
2015-01-13 14:20:00+05:30,-8230.5
2015-01-14 14:15:00+05:30,-3801.0
2015-01-15 15:20:00+05:30,10617.0
2015-01-19 09:25:00+05:30,2871.0
2015-01-21 14:15:00+05:30,15466.5
2015-01-22 10:35:00+05:30,12453.0
2015-01-22 13:55:00+05:30,10104.0
2015-01-22 15:15:00+05:30,6826.5
2015-01-23 10:25:00+05:30,8224.5
2015-01-27 09:15:00+05:30,3957.0
2015-01-28 12:40:00+05:30,21102.0
2015-01-29 15:00:00+05:30,25129.5
2015-01-30 11:05:00+05:30,18940.5
2015-02-02 13:25:00+05:30,39042.0
2015-02-03 10:15:00+05:30,40255.5
2015-02-04 13:05:00+05:30,52827.0
2015-02-04 15:15:00+05:30,47400.0
2015-02-05 10:00:00+05:30,43113.0
2015-02-05 14:50:00+05:30,42678.0
2015-02-06 12:20:00+05:30,50466.0
2015-02-06 14:30:00+05:30,45024.0
2015-02-10 09:20:00+05:30,53068.5
2015-02-10 12:15:00+05:30,57285.0
2015-02-10 14:45:00+05:30,57807.0
2015-02-12 09:30:00+05:30,63747.0
2015-02-12 14:00:00+05:30,63030.0
2015-02-16 11:20:00+05:30,75034.5
2015-02-18 10:00:00+05:30,75219.0
2015-02-19 10:35:00+05:30,72742.5
2015-02-19 14:45:00+05:30,78067.5
2015-02-20 09:25:00+05:30,76459.5
2015-02-20 11:25:00+05:30,70095.0
2015-02-20 13:55:00+05:30,66789.0
2015-02-24 11:50:00+05:30,71784.0
2015-02-24 14:25:00+05:30,69778.5
2015-02-25 09:15:00+05:30,65911.5
2015-02-25 13:50:00+05:30,63267.0
2015-02-27 09:15:00+05:30,69303.0
2015-02-28 11:35:00+05:30,83089.5
2015-02-28 12:15:00+05:30,76801.5
2015-03-02 12:00:00+05:30,89253.0
2015-03-02 14:00:00+05:30,83508.0
2015-03-03 11:15:00+05:30,79597.5
2015-03-03 13:40:00+05:30,75937.5
2015-03-04 11:40:00+05:30,82345.5
2015-03-05 14:00:00+05:30,99775.5
2015-03-09 09:15:00+05:30,95347.5
2015-03-10 10:30:00+05:30,100879.5
2015-03-10 13:10:00+05:30,96208.5
2015-03-10 15:20:00+05:30,96531.0
2015-03-11 10:25:00+05:30,92080.5
2015-03-11 12:25:00+05:30,88072.5
2015-03-13 10:05:00+05:30,87801.0
2015-03-16 14:20:00+05:30,94344.0
2015-03-17 12:05:00+05:30,96355.5
2015-03-17 15:00:00+05:30,94599.0
2015-03-18 14:50:00+05:30,98136.0
2015-03-19 09:15:00+05:30,92182.5
2015-03-19 12:55:00+05:30,88669.5
2015-03-24 13:55:00+05:30,111115.5
2015-03-24 15:00:00+05:30,107859.0
2015-03-26 15:25:00+05:30,118131.0
2015-03-27 12:40:00+05:30,111013.5
2015-03-27 13:25:00+05:30,106107.0
2015-03-31 14:15:00+05:30,118822.5
2015-04-01 12:45:00+05:30,118714.5
2015-04-06 10:00:00+05:30,123522.0
2015-04-06 13:15:00+05:30,120667.5
2015-04-07 11:00:00+05:30,118999.5
2015-04-08 09:15:00+05:30,118618.5
2015-04-08 11:25:00+05:30,115513.5
2015-04-08 12:05:00+05:30,113256.0
2015-04-08 14:10:00+05:30,110109.0
2015-04-09 09:15:00+05:30,107032.5
2015-04-09 14:00:00+05:30,113091.0
2015-04-09 14:55:00+05:30,109033.5
